,title,abstract,affiliations,authors,journal,date,keywords,url
0,ORF8-Related Genetic Evidence for Chinese Horseshoe Bats as the Source of Human Severe Acute Respiratory Syndrome Coronavirus,"Several lineage B betacoronaviruses termed severe acute respiratory syndrome (SARS)-like CoVs (SL-CoVs) were identified from Rhinolophus bats in China. These viruses are characterized by a set of unique accessory open reading frames (ORFs) that are located between the M and N genes. Among unique accessory ORFs, ORF8 is most hypervariable. In this study, the ORF8s of all SL-CoVs were classified into 3 types, and, for the first time, it was found that very few SL-CoVs from Rhinolophus sinicus have ORF8s that are identical to that of human SARS-CoV. This finding provides new genetic evidence for Chinese horseshoe bats as the source of human SARS-CoV.","['1 MOH Key Laboratory of Systems Biology of Pathogens, Institute of Pathogen Biology, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing.', '2 State Key Laboratory of Estuarine and Coastal Research, Institute of Estuarine and Coastal Research, East China Normal University, Shanghai.', ""3 College of Animal Science and Veterinary Medicine, Shenyang Agricultural University, People's Republic of China."", '4 MOH Key Laboratory of Systems Biology of Pathogens, Institute of Pathogen Biology, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing Collaborative Innovation Center for Diagnosis and Treatment of Infectious Diseases, Hangzhou.']","Zhiqiang Wu, Li Yang, Xianwen Ren, Junpeng Zhang, Fan Yang, Shuyi Zhang, Qi Jin, ",The Journal of infectious diseases,2016,ORF8; bats; origin; severe acute respiratory syndrome coronavirus.,https://pubmed.ncbi.nlm.nih.gov/26433221
1,Detection of diverse viruses in alimentary specimens of bats in Macau,"Bats carry a variety of viruses, and some of them cause public health problems. Macau, which is famous for its gambling industry, has a complex population structure. The globalization in such an international metropolis has enhanced the chance of disease transmission. Therefore, surveillance of zoonotic viruses is necessary for the early warning of potential emerging infectious diseases. Here, we report the first surveillance of bat viruses in Macau. In this study, we collected 1004 samples involving 10 bat species from 7 sites from April 2015 to May 2016, and examined the presence of viruses using nucleic acid-based methods. Coronaviruses, adenoviruses and paramyxoviruses were detected in these samples, with a high prevalence of coronaviruses. While, none was positive for hepatitis A virus, hepatitis E virus or hantavirus. Co-infections are not common in those bat species, but coronavirus HKU6 and adenovirus can be found commonly occurred in Myotis ricketti.","['1 College of Life Science, Guangzhou University, Guangzhou, 510006, China.', '2 Guangdong Key Laboratory of Animal Conservation and Resource Utilization, Guangdong Public Laboratory of Wild Animal Conservation and Utilization, Guangdong Institute of Applied Biological Resources, Guangzhou, 510260, China.', '3 CAS Key Laboratory of Special Pathogens, Center for Emerging Infectious Diseases, Wuhan Institute of Virology, Chinese Academy of Sciences, Wuhan, 430071, China.', '4 Macau Civic and Municipal Affairs Bureau, Macao SAR, China.', '5 College of Life Science, Guangzhou University, Guangzhou, 510006, China. wuyizhouq@263.net.', '6 Guangdong Key Laboratory of Animal Conservation and Resource Utilization, Guangdong Public Laboratory of Wild Animal Conservation and Utilization, Guangdong Institute of Applied Biological Resources, Guangzhou, 510260, China. zhanglb@gdei.gd.cn.']","Jie Liang, Xing-Lou Yang, Bei Li, Qi Liu, Qin Zhang, Hui Liu, Hon-Pio Kan, Kai-Chin Wong, Si-Nga Chek, Xiangyang He, Xingwen Peng, Zheng-Li Shi, Yi Wu, Libiao Zhang, ",Virologica Sinica,NO_DATE,adenovirus; bat virus; coronavirus; paramyxovirus; viral detection.,https://pubmed.ncbi.nlm.nih.gov/28589292
2,"Genomic Characterization of a Novel Alphacoronavirus Isolated from Bats, Korea, 2020","Coronavirus, an important zoonotic disease, raises concerns of future pandemics. The bat is considered a source of noticeable viruses resulting in human and livestock infections, especially the coronavirus. Therefore, surveillance and genetic analysis of coronaviruses in bats are essential in order to prevent the risk of future diseases. In this study, the genome of HCQD-2020, a novel alphacoronavirus detected in a bat (Eptesicus serotinus), was assembled and described using next-generation sequencing and bioinformatics analysis. The comparison of the whole-genome sequence and the conserved amino acid sequence of replicated proteins revealed that the new strain was distantly related with other known species in the Alphacoronavirus genus. Phylogenetic construction indicated that this strain formed a separated branch with other species, suggesting a new species of Alphacoronavirus. Additionally, in silico prediction also revealed the risk of cross-species infection of this strain, especially in the order Artiodactyla. In summary, this study provided the genetic characteristics of a possible new species belonging to Alphacoronavirus.","['1 Virology Lab, Department of Veterinary Medicine, College of Veterinary Medicine and Research Institute for Veterinary Science, Seoul National University, Seoul 08826, Korea.', '2 Department of Veterinary Microbiology and Infectious Diseases, Faculty of Veterinary Medicine, Vietnam National University of Agriculture, Hanoi 100000, Vietnam.', '3 Department of Life Science, Dongguk University, Gyeongju 38066, Korea.', '4 Noah Biotech Research Unit, Noah Biotech Co., Ltd., Suwon 16612, Korea.', '5 Institute of Genome Research, Vietnam Academy of Science and Technology, Hanoi 100000, Vietnam.', '6 Department of Medical Science, University of California, Los Angeles, CA 90095, USA.', '7 Department of Veterinary Medicine Microbology Lab, College of Veterinary Medicine and Research Institute for Veterinary Science, Seoul National University, Seoul 08826, Korea.']","Hai-Quynh Do, Van-Giap Nguyen, Chul-Un Chung, Yong-Shin Jeon, Sook Shin, Kuem-Chan Jang, Le Bich Hang Pham, Aeri Kong, Cheong-Ung Kim, Yong-Ho Park, Bong-Kyun Park, Hee-Chun Chung, ",Viruses,2021,Alphacoronavirus; Korea; bat; novel species.,https://pubmed.ncbi.nlm.nih.gov/34696471
3,Complete genome sequence of a novel bat mastadenovirus C strain isolated from Rhinolophus cornutus in Japan,"Here, we report a novel bat adenovirus strain isolated from apparently healthy bats of the species Rhinolophus cornutus in Japan. The genome of the isolate was 36,506 bp in length and encoded at least 33 proteins. Phylogenetic analysis of the DNA polymerase amino acid sequence, which provides one demarcation criterion for adenoviral species, indicated that the isolate belongs to the species Bat mastadenovirus C in the genus Mastadenovirus. Most of the encoded proteins shared high sequence similarity with those of known bat adenovirus C strains detected in different species of Rhinolophus, whereas the fiber protein and some E3- and E4-related proteins shared moderate similarity, and only the large E3 protein, which contains several host immune-suppression-related motifs, showed considerably lower similarity.","['1 Laboratory of Veterinary Microbiology, Graduate School of Agricultural and Life Sciences, The University of Tokyo, 1-1-1 Yayoi, Bunkyo-ku, Tokyo, 113-8657, Japan.', '2 Laboratory of Veterinary Microbiology, Graduate School of Agricultural and Life Sciences, The University of Tokyo, 1-1-1 Yayoi, Bunkyo-ku, Tokyo, 113-8657, Japan. shin-murakami@g.ecc.u-tokyo.ac.jp.', '3 Laboratory of Veterinary Public Health, Graduate School of Agricultural and Life Sciences, The University of Tokyo, Tokyo, Japan.', '4 Laboratory of Veterinary Microbiology, Graduate School of Agricultural and Life Sciences, The University of Tokyo, 1-1-1 Yayoi, Bunkyo-ku, Tokyo, 113-8657, Japan. taihorimoto@g.ecc.u-tokyo.ac.jp.']","Misa Katayama, Shin Murakami, Hiromichi Matsugo, Haruhiko Kamiki, Marina Fujii, Akiko Takenaka-Uema, Taisuke Horimoto, ",Archives of virology,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35112204
4,Molecular detection of bat coronaviruses in three bat species in Indonesia,"Bats are an important reservoir of several zoonotic diseases. However, the circulation of bat coronaviruses (BatCoV) in live animal markets in Indonesia has not been reported. Genetic characterization of BatCoV was performed by sequencing partial RdRp genes. Real-time polymerase chain reaction based on nucleocapsid protein (N) gene and Enzyme-linked immunosorbent assay against the N protein were conducted to detect the presence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) viral RNA and antibody, respectively. We identified the presence of BatCoV on Cynopterus brachyotis, Macroglossus minimus, and Rousettus amplexicaudatus. The results showed that the BatCoV included in this study are from an unclassified coronavirus group. Notably, SARS-CoV-2 viral RNA and antibodies were not detected in the sampled bats.","['1 Indonesian Research Center for Veterinary Science, Ministry of Agriculture, Bogor 16124, Indonesia. niluhputuindi@gmail.com, nlpdharmayanti@gmail.com.', '2 Indonesian Research Center for Veterinary Science, Ministry of Agriculture, Bogor 16124, Indonesia.', '3 Research Centre for Biology, Indonesian Institute of Sciences (LIPI), Bogor 16911, Indonesia.', '4 Biodiversity Conservation for the Indonesian Ministry of Environment and Forestry, Jakarta 10270, Indonesia.']","Ni Luh Putu Indi Dharmayanti, Diana Nurjanah, Harimurti Nuradji, Ibnu Maryanto, Indra Exploitasia, Risa Indriani, ",Journal of veterinary science,NO_DATE,Coronavirus; Indonesia; bats; zoonoses.,https://pubmed.ncbi.nlm.nih.gov/34697920
5,"Complete genomes of Aravan, Khujand, Irkut and West Caucasian bat viruses, with special attention to the polymerase gene and non-coding regions","The purpose of this study was to generate complete genome sequences of Aravan (ARAV), Khujand (KHUV), Irkut (IRKV) and West Caucasian bat (WCBV) viruses, and to compare them with genomes of other lyssaviruses. We focused on RNA-dependent RNA-polymerase (L) and non-coding regions, because other genes of these viruses have been described previously. The L protein is organized into six conserved blocks (I-VI), previously detected in all Mononegavirales. Furthermore, lyssaviruses have two additional conserved regions, L1 and L2, located in the COOH part of the L. L1 may be responsible for methylation of viral mRNA cap structures, whereas the significance of L2 is unclear. Phylogenetic patterns based on the L are similar to those described for the nucleoprotein. The WCBV is the most divergent member of the genus. Besides phylogeny, it has a short trailer region (57 nucleotides versus 69-70 nucleotides in other lyssaviruses) and different intergenic region lengths, including an exceptionally long non-coding region of the glycoprotein (697 nucleotides) containing a potential open reading frame of 180 nucleotides. The absence of a flanking transcription initiation signal, as well as Northern and Western blot data, suggests that this region is not independently transcribed but is a part of G mRNA.","['1 Rabies Program, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-33 Atlanta, GA 30333, USA. ibk3@cdc.gov']","Ivan V Kuzmin, Xianfu Wu, Noel Tordo, Charles E Rupprecht, ",Virus research,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/18514350
6,Isolation of novel adenovirus from fruit bat (Pteropus dasymallus yayeyamae),Isolation of Novel Adenovirus from Fruit Bat,NO_AFFILIATIONS,"Ken Maeda, Eiichi Hondo, Junpei Terakawa, Yasuo Kiso, Numekazu Nakaichi, Daiji Endoh, Kouji Sakai, Shigeru Morikawa, Tetsuya Mizutani, ",Emerging infectious diseases,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/18258142
7,"New lyssavirus genotype from the Lesser Mouse-eared Bat (Myotis blythi), Kyrghyzstan","The Aravan virus was isolated from a Lesser Mouse-eared Bat (Myotis blythi) in the Osh region of Kyrghyzstan, central Asia, in 1991. We determined the complete sequence of the nucleoprotein (N) gene and compared it with those of 26 representative lyssaviruses obtained from databases. The Aravan virus was distinguished from seven distinct genotypes on the basis of nucleotide and amino acid identity. Phylogenetic analysis based on both nucleotide and amino acid sequences showed that the Aravan virus was more closely related to genotypes 4, 5, and--to a lesser extent--6, which circulates among insectivorus bats in Europe and Africa. The Aravan virus does not belong to any of the seven known genotypes of lyssaviruses, namely, rabies, Lagos bat, Mokola, and Duvenhage viruses and European bat lyssavirus 1, European bat lyssavirus 2, and Australian bat lyssavirus. Based on these data, we propose a new genotype for the Lyssavirus genus.","['1 Department of Virology 1, National Institute of Infectious Diseases, Tokyo, Japan. yarai@nih.go.jp']","Yohko T Arai, Ivan V Kuzmin, Yosuke Kameoka, Alexandr D Botvinkin, ",Emerging infectious diseases,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/12643828
8,Genetic diversity of adenoviruses in bats of China,"Adenovirus remains a significant threat to public health. Recent studies showed that bats can harbor diverse adenoviruses. To further investigate the distribution and genetic diversity of bat adenoviruses in China, we collected throat and anal swab samples of 11 bat species from 6 provinces of China, including Beijing, Hunan, Jiangxi, Yunnan, Guizhou and Hainan. Nested PCR was used to identify potential bat adenoviruses from the samples, and positive results were cloned and sequenced for genetic diversity study. In addition, nucleotide sequence alignments based on corresponding amino acid sequence similarities were used for phylogenetic analyses. Our results showed that about 20% of bat species in China are positive to adenoviruses, and Myotis ricketti is likely to be the most important host of bat adenoviruses in all locations. Moreover, we identified two diverse sequences of bat adenoviruses from the same sample of Ia io in Guizhou province of China. In general, the average nucleotide and amino acid sequence similarities of the conserved region of DNA polymerases of bat adenoviruses are 66.6% and 74.7%, respectively. The differences between bat species and their residences environments may have driven the adaptive evolution of the viruses, leading to the genetic diversity of the bat adenoviruses.","['1 MOH Key Laboratory of Systems Biology of Pathogens, Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing 100176, China. chenlh@ipbcams.ac.cn']","Li-Hong Chen, Zhi-Qiang Wu, Yong-Feng Hu, Fan Yang, Jian Yang, Qi Jin, ",Bing du xue bao = Chinese journal of virology,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/22978165
9,Novel viruses detected in bats in the Republic of Korea,"Bats are natural reservoirs for potential zoonotic viruses. In this study, next-generation sequencing was performed to obtain entire genome sequences of picornavirus from a picornavirus-positive bat feces sample (16BF77) and to explore novel viruses in a pooled bat sample (16BP) from samples collected in South Korea, 2016. Fourteen mammalian viral sequences were identified from 16BF77 and 29 from 16BP, and verified by RT-PCR. The most abundant virus in 16BF77 was picornavirus. Highly variable picornavirus sequences encoding 3Dpol were classified into genera Kobuvirus, Shanbavirus, and an unassigned group within the family Picornaviridae. Amino acid differences between these partial 3Dpol sequences were ≥ 65.7%. Results showed that one bat was co-infected by picornaviruses of more than two genera. Retrovirus, coronavirus, and rotavirus A sequences also were found in the BP sample. The retrovirus and coronavirus genomes were identified in nine and eight bats, respectively. Korean bat retroviruses and coronavirus demonstrated strong genetic relationships with a Chinese bat retrovirus (RfRV) and coronavirus (HKU5-1), respectively. A co-infection was identified in one bat with a retrovirus and a coronavirus. Our results indicate that Korean bats were multiply infected by several mammal viruses.","['1 Laboratory of Veterinary Infectious Diseases, College of Veterinary Medicine, Jeonbuk National University, Iksan, Chonbuk, Republic of Korea.', '2 Department of Life Science, Dongguk University, Gyeongju, Republic of Korea.', '3 Laboratory of Veterinary Infectious Diseases, College of Veterinary Medicine, Jeonbuk National University, Iksan, Chonbuk, Republic of Korea. jku0623@jbnu.ac.kr.', '4 Department of Veterinary Infectious Diseases, College of Veterinary Medicine, Jeonbuk National University, Iksan, Republic of Korea. jku0623@jbnu.ac.kr.']","Sook-Young Lee, Chul-Un Chung, Jun Soo Park, Jae-Ku Oem, ",Scientific reports,2020,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/33219309
