,title,abstract,affiliations,authors,journal,date,keywords,url
0,Wenn’s nicht Corona ist?,NO_ABSTRACT,"['1 FMH Innere Medizin und Infektiologie, Innere Medizin und Diagnostik, Spital Zofingen.']","Philippe Rafeiner, ",Praxis,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/33109003
1,Brown adipose tissue and lipid metabolism,"Purpose of review:
        
      
      This article explores how the interplay between lipid metabolism and thermogenic adipose tissues enables proper physiological adaptation to cold environments in rodents and humans. Recent findings:
        
      
      Cold exposure triggers systemic changes in lipid metabolism, which increases fatty acid delivery to brown adipose tissue (BAT) by various routes. Next to fatty acids generated intracellularly by de-novo lipogenesis or by lipolysis at lipid droplets, brown adipocytes utilize fatty acids released by white adipose tissue (WAT) for adaptive thermogenesis. WAT-derived fatty acids are internalized directly by BAT, or indirectly after hepatic conversion to very low-density lipoproteins and acylcarnitines. In the postprandial state, chylomicrons hydrolyzed by lipoprotein lipase - activated specifically in thermogenic adipocytes - are the predominant fatty acid source. Cholesterol-enriched chylomicron remnants and HDL generated by intravascular lipolysis in BAT are cleared more rapidly by the liver, explaining the antiatherogenic effects of BAT activation. Notably, increased cholesterol flux and elevated hepatic synthesis of bile acids under cold exposure further promote BAT-dependent thermogenesis. Summary:
        
      
      Although pathways providing fatty acids for activated BAT have been identified, more research is needed to understand the integration of lipid metabolism in BAT, WAT and liver, and to determine the relevance of BAT for human energy metabolism.","['1 Department of Biochemistry and Molecular Cell Biology, University Medical Center Hamburg-Eppendorf, Hamburg, Germany.']","Joerg Heeren, Ludger Scheja, ",Current opinion in lipidology,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/29718003
2,Editorial: 2020 - The year of viruses,NO_ABSTRACT,"['1 Department of Physiology, Anatomy & Genetics, University of Oxford, USA. Electronic address: Denis.noble@dpag.ox.ac.uk.']","Denis Noble, ",Progress in biophysics and molecular biology,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/33096122
3,Viral Manipulations of the Cullin-RING Ubiquitin Ligases,"Cullin-RING ubiquitin ligases (CRLs) are efficient and diverse toolsets of the cells to regulate almost every biological process. However, these characteristics have also been usurped by many viruses to optimize for their replication. CRLs are often at the forefront of the arms races in the coevolution of viruses and hosts. Here we review the modes of actions and functional consequences of viral manipulations of host cell CRLs. We also discuss the therapeutic applications to target these viral manipulations for treating viral infections.","['1 MOE Key Laboratory of Bioorganic Phosphorus Chemistry & Chemical Biology, Beijing Advanced Innovation Center for Structural Biology, Beijing Frontier Research Center for Biological Structures, School of Pharmaceutical Sciences, Tsinghua University, Beijing, China.', '2 MOE Key Laboratory of Bioorganic Phosphorus Chemistry & Chemical Biology, Beijing Advanced Innovation Center for Structural Biology, Beijing Frontier Research Center for Biological Structures, School of Pharmaceutical Sciences, Tsinghua University, Beijing, China. xutan@tsinghua.edu.cn.']","Ying Liu, Xu Tan, ",Advances in experimental medicine and biology,NO_DATE,CRL; Cullins; Degradation; Ubiquitination; Virus infection.,https://pubmed.ncbi.nlm.nih.gov/31898224
4,Thermoregulation and the ultradian basic rest-activity cycle,"Daily life involves interactions with the external environment. In rats these apparently spontaneous interactions, often associated with the search for food, alternate with periods of rest in both the dark and light periods of the 24-hour day. Kleitman, in whose laboratory rapid eye movement sleep was discovered, referred to the temporal pattern as ""the basic rest-activity cycle."" The active periods of the basic rest-activity cycle occur approximately every 1-2 hours in an irregular stochastic pattern that has been described (perhaps unhelpfully) as ultradian rhythmicity. Both the spontaneous interactions and those evoked by salient, potentially threatening environmental events are accompanied by increases in brown adipose tissue (BAT) temperature of approximately 1°C. The heat produced in BAT contributes to associated increases in the temperature of the brain (approximately 0.8°C) and the body (approximately 0.6°C). These temperature changes require extension of the conventional ""homeostasis"" framework of temperature regulation. They may function to facilitate the cognitive processing that underlies the vital decision making necessary for safe and effective interaction with the external environment.","['1 Department of Human Physiology, Flinders University, Adelaide, SA, Australia. Electronic address: w.w.blessing@flinders.edu.au.']","William W Blessing, ",Handbook of clinical neurology,NO_DATE,BAT; basic rest–activity cycle; brain temperature; brown adipose tissue; brown adipose tissue thermogenesis; eating; emotional hyperthermia; hippocampal theta rhythm; homeostasis; stochastic timing; stress-induced hyperthermia; thermogenesis.,https://pubmed.ncbi.nlm.nih.gov/30454601
5,An overview of viral infections of the nervous system in the immunosuppressed,"Several viruses have the capacity to cause serious infections of the nervous system in patients who are immunosuppressed. Individuals may be immunosuppressed because of primary inherited immunodeficiency, secondary immunodeficiency due to particular diseases such as malignancy, administration of immunosuppressant drugs or organ or bone marrow transplantation. The viruses capable of such opportunistic infection of the nervous system include herpes simplex virus (HSV), Varicella-Zoster virus (VZV), Cytomegalovirus (CMV), Epstein -Barr virus (EBV), Human Herpes virus type 6 (HHV-6), JC virus (JCV), enterovirus, measles virus and Covid-19. In most cases it seems likely that immunological defence mechanisms in the immunosuppressed are deficient which creates a suitable environment for certain viruses to become opportunistic in the nervous and other systems. Further research is required both to understand these opportunistic mechanisms in more detail and also to determine how many virus infections are modified by specific inborn errors of immunological responses.","['1 Institute of Infection, Immunity and Inflammation, College of Medical, Veterinary and Life Sciences, University of Glasgow, Glasgow, G61 1QH, Scotland, UK. Peter.Kennedy@glasgow.ac.uk.']","Peter G E Kennedy, ",Journal of neurology,NO_DATE,Immunodeficiency; Immunosuppression; Infection; Nervous system; PCR; Virus.,https://pubmed.ncbi.nlm.nih.gov/33048220
6,Evolutionary insights right off the bat,NO_ABSTRACT,"['1 Nature Reviews Genetics, . nrg@nature.com.']","Linda Koch, ",Nature reviews. Genetics,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/32811978
7,UCP1-dependent and UCP1-independent metabolic changes induced by acute cold exposure in brown adipose tissue of mice,"Background:
        
      
      Brown adipose tissue (BAT) is a site of metabolic thermogenesis mediated by mitochondrial uncoupling protein 1 (UCP1) and represents a target for a therapeutic intervention in obesity. Cold exposure activates UCP1-mediated thermogenesis in BAT and causes drastic changes in glucose, lipid, and amino acid metabolism; however, the relationship between these metabolic changes and UCP1-mediated thermogenesis is not fully understood. Methods:
        
      
      We conducted metabolomic and GeneChip array analyses of BAT after 4-h exposure to cold temperature (10 °C) in wild-type (WT) and UCP1-KO mice. Results:
        
      
      Cold exposure largely increased metabolites of the glycolysis pathway and lactic acid levels in WT, but not in UCP1-KO, mice, indicating that aerobic glycolysis is enhanced as a consequence of UCP1-mediated thermogenesis. GeneChip array analysis of BAT revealed that there were 2865 genes upregulated by cold exposure in WT mice, and 838 of these were upregulated and 74 were downregulated in UCP1-KO mice. Pathway analysis revealed the enrichment of genes involved in fatty acid (FA) β oxidation and triglyceride (TG) synthesis in both WT and UCP1-KO mice, suggesting that these metabolic pathways were enhanced by cold exposure independently of UCP1-mediated thermogenesis. FA and cholesterol biosynthesis pathways were enhanced only in UCP1-KO mice. Cold exposure also significantly increased the BAT content of proline, tryptophan, and phenylalanine amino acids in both WT and UCP1-KO mice. In WT mice, cold exposure significantly increased glutamine content and enhanced the expression of genes related to glutamine metabolism. Surprisingly, aspartate was almost completely depleted after cold exposure in UCP1-KO mice. Gene expression analysis suggested that aspartate was actively utilized after cold exposure both in WT and UCP1-KO mice, but it was replenished from intracellular N-acetyl-aspartate in WT mice. Conclusions:
        
      
      These results revealed that cold exposure induces UCP1-mediated thermogenesis-dependent glucose utilization and UCP1-independent active lipid metabolism in BAT. In addition, cold exposure largely affects amino acid metabolism in BAT, especially UCP1-dependently enhances glutamine utilization. These results contribute a comprehensive understanding of UCP1-mediated thermogenesis-dependent and thermogenesis-independent metabolism in BAT.","['1 Laboratory of Biochemistry, Faculty of Veterinary Medicine, Hokkaido University, Sapporo 060-0818, Japan. Electronic address: y-okamatsu@vetmed.hokudai.ac.jp.', '2 Department of Nutrition and Metabolism, Institute of Health Biosciences, Tokushima University Graduate School, Tokushima 770-8503, Japan.', '3 Laboratory of Biochemistry, Faculty of Veterinary Medicine, Hokkaido University, Sapporo 060-0818, Japan.']","Yuko Okamatsu-Ogura, Masashi Kuroda, Rie Tsutsumi, Ayumi Tsubota, Masayuki Saito, Kazuhiro Kimura, Hiroshi Sakaue, ",Metabolism: clinical and experimental,NO_DATE,Brown adipose tissue; Cold exposure; GeneChip array; Metabolomics; Uncoupling protein 1.,https://pubmed.ncbi.nlm.nih.gov/33065161
8,Programming mediated by fatty acids affects uncoupling protein 1 (UCP-1) in brown adipose tissue,"Brown adipose tissue (BAT) has recently been given more attention for the part it plays in obesity. BAT can generate great amounts of heat through thermogenesis by the activation of uncoupling protein 1 (UCP-1), which can be regulated by many environmental factors such as diet. Moreover, the build-up of BAT relates to maternal nutritional changes during pregnancy and lactation. However, at present, there is a limited number of studies looking at maternal nutrition and BAT development, and it seems that the research trend in this field has been considerably declining since the 1980s. There is much to discover yet about the role of different fatty acids on the development of BAT and the activation of UCP-1 during the fetal and the postnatal periods of life. A better understanding of the impact of nutritional intervention on the epigenetic regulation of BAT could lead to new preventive care for metabolic diseases such as obesity. It is important to know in which circumstances lipids could programme BAT during pregnancy and lactation. The modification of maternal dietary fatty acids, amount and composition, during pregnancy and lactation might be a promising strategy for the prevention of obesity in the offspring and future generations.","['1 1Programa de Pós Graduação em Alimentos Nutrição e Saúde,Universidade Federal de São Paulo (UNIFESP),Santos,São Paulo,Brazil.', '2 2Departamento de Biociências,Universidade Federal de São Paulo (UNIFESP),Santos, São Paulo,Brazil.']","Perla P Argentato, Helena de Cássia César, Débora Estadella, Luciana P Pisani, ",The British journal of nutrition,NO_DATE,BA brown adipocytes; BAT brown adipose tissue; UCP-1 uncoupling protein 1; Brown adipose tissue; Fatty acids; Fetal programming; Obesity; Uncoupling protein 1.,https://pubmed.ncbi.nlm.nih.gov/30176958
9,Evolutionary design principles in metabolism,"Microorganisms are ubiquitous and adapt to various dynamic environments to sustain growth. These adaptations accumulate, generating new traits forming the basis of evolution. Organisms adapt at various levels, such as gene regulation, signalling, protein-protein interactions and metabolism. Of these, metabolism forms the integral core of an organism for maintaining the growth and function of a cell. Therefore, studying adaptations in metabolic networks is crucial to understand the emergence of novel metabolic capabilities. Metabolic networks, composed of enzyme-catalysed reactions, exhibit certain repeating paradigms or design principles that arise out of different selection pressures. In this review, we discuss the design principles that are known to exist in metabolic networks, such as functional redundancy, modularity, flux coupling and exaptations. We elaborate on the studies that have helped gain insights highlighting the interplay of these design principles and adaptation. Further, we discuss how evolution plays a role in exploiting such paradigms to enhance the robustness of organisms. Looking forward, we predict that with the availability of ever-increasing numbers of bacterial, archaeal and eukaryotic genomic sequences, novel design principles will be identified, expanding our understanding of these paradigms shaped by varied evolutionary processes.","['1 1 Department of Biotechnology, Bhupat and Jyoti Mehta School of Biosciences, Indian Institute of Technology Madras , Chennai 600036 , India.', '2 2 Initiative for Biological Systems Engineering (IBSE), Indian Institute of Technology Madras , Chennai 600036 , India.', '3 3 Robert Bosch Centre for Data Science and Artificial Intelligence (RBCDSAI), Indian Institute of Technology Madras , Chennai 600036 , India.']","Gayathri Sambamoorthy, Himanshu Sinha, Karthik Raman, ",Proceedings. Biological sciences,2019,adaptation; design principles; metabolic networks; robustness; systems biology.,https://pubmed.ncbi.nlm.nih.gov/30836874
